@RELATION pacman

@ATTRIBUTE pacmanx NUMERIC
@ATTRIBUTE pacmany NUMERIC
@ATTRIBUTE legalW NUMERIC
@ATTRIBUTE legalE NUMERIC
@ATTRIBUTE legalN NUMERIC
@ATTRIBUTE legalS NUMERIC
@ATTRIBUTE numghost NUMERIC
@ATTRIBUTE alivePacman NUMERIC
@ATTRIBUTE alive_Ghost1 NUMERIC
@ATTRIBUTE alive_Ghost2 NUMERIC
@ATTRIBUTE alive_Ghost3 NUMERIC
@ATTRIBUTE alive_Ghost4 NUMERIC
@ATTRIBUTE ghost1x NUMERIC
@ATTRIBUTE ghost1y NUMERIC
@ATTRIBUTE ghost2x NUMERIC
@ATTRIBUTE ghost2y NUMERIC
@ATTRIBUTE ghost3x NUMERIC
@ATTRIBUTE ghost3y NUMERIC
@ATTRIBUTE ghost4x NUMERIC
@ATTRIBUTE ghost4y NUMERIC
@ATTRIBUTE g1_west NUMERIC
@ATTRIBUTE g1_stop NUMERIC
@ATTRIBUTE g1_east NUMERIC
@ATTRIBUTE g1_north NUMERIC
@ATTRIBUTE g1_south NUMERIC
@ATTRIBUTE g2_west NUMERIC
@ATTRIBUTE g2_stop NUMERIC
@ATTRIBUTE g2_east NUMERIC
@ATTRIBUTE g2_north NUMERIC
@ATTRIBUTE g2_south NUMERIC
@ATTRIBUTE g3_west NUMERIC
@ATTRIBUTE g3_stop NUMERIC
@ATTRIBUTE g3_east NUMERIC
@ATTRIBUTE g3_north NUMERIC
@ATTRIBUTE g3_south NUMERIC
@ATTRIBUTE g4_west NUMERIC
@ATTRIBUTE g4_stop NUMERIC
@ATTRIBUTE g4_east NUMERIC
@ATTRIBUTE g4_north NUMERIC
@ATTRIBUTE g4_south NUMERIC
@ATTRIBUTE ghost1dist NUMERIC
@ATTRIBUTE ghost2dist NUMERIC
@ATTRIBUTE ghost3dist NUMERIC
@ATTRIBUTE ghost4dist NUMERIC
@ATTRIBUTE pac_dots NUMERIC
@ATTRIBUTE distance_dots NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE class {Stop, East, West, North, South}
@ATTRIBUTE next_score NUMERIC


@DATA
1, 17, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 12, 24, 27, 28, 0, -1, -1, South, -2
1, 16, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 5, 25, 14, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 11, 23, 27, 26, 0, -1, -2, South, -3
1, 15, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 6, 9, 10, 3, 17, 5, 25, 13, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 11, 21, 26, 26, 0, -1, -3, South, -4
1, 14, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 6, 8, 10, 4, 18, 5, 25, 13, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 11, 19, 26, 25, 0, -1, -4, South, -5
1, 13, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 6, 7, 10, 3, 18, 5, 25, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 11, 19, 25, 25, 0, -1, -5, South, -6
1, 12, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 7, 11, 3, 18, 4, 25, 13, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 9, 19, 25, 25, 0, -1, -6, South, -7
1, 11, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 4, 7, 11, 3, 18, 3, 25, 14, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 7, 18, 25, 27, 0, -1, -7, South, -8
1, 10, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 4, 8, 10, 3, 17, 3, 25, 15, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 16, 23, 29, 0, -1, -8, South, -9
1, 9, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 4, 8, 9, 3, 17, 4, 25, 14, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 14, 21, 29, 0, -1, -9, South, -10
1, 8, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 4, 8, 8, 3, 18, 4, 25, 15, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 12, 21, 31, 0, -1, -10, South, -11
